STATE/UT,DISTRICT,YEAR,MURDER,ATTEMPT TO MURDER,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,RAPE,CUSTODIAL RAPE,OTHER RAPE,KIDNAPPING & ABDUCTION,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,KIDNAPPING AND ABDUCTION OF OTHERS,DACOITY,PREPARATION AND ASSEMBLY FOR DACOITY,ROBBERY,BURGLARY,THEFT,AUTO THEFT,OTHER THEFT,RIOTS,CRIMINAL BREACH OF TRUST,CHEATING,COUNTERFIETING,ARSON,HURT/GREVIOUS HURT,DOWRY DEATHS,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,INSULT TO MODESTY OF WOMEN,CRUELTY BY HUSBAND OR HIS RELATIVES,IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES,CAUSING DEATH BY NEGLIGENCE,OTHER IPC CRIMES,TOTAL IPC CRIMES,Cluster
ANDHRA PRADESH,NELLORE,2001,89,69,5,46,0,46,90,80,10,12,2,16,244,608,72,536,97,20,177,3,65,1119,10,207,228,287,0,266,1585,5245,1
ANDHRA PRADESH,NIZAMABAD,2001,106,49,14,21,0,21,38,21,17,7,0,22,158,234,48,186,51,61,122,1,30,1383,19,55,15,228,0,220,787,3621,1
ANDHRA PRADESH,PRAKASHAM,2001,102,82,3,19,0,19,31,12,19,15,0,14,147,278,33,245,138,16,88,1,43,1266,5,140,100,119,0,263,808,3678,1
ANDHRA PRADESH,RANGA REDDY,2001,214,95,16,72,0,72,106,83,23,24,3,78,1076,1296,347,949,65,67,527,3,67,2829,37,113,55,421,7,593,2103,9867,1
ANDHRA PRADESH,VIJAYAWADA,2001,53,44,5,25,0,25,70,48,22,3,0,27,491,2057,264,1793,19,34,614,10,17,1578,2,84,122,520,0,234,724,6733,1
ANDHRA PRADESH,WARANGAL,2001,158,79,5,53,0,53,81,25,56,2,0,23,266,418,79,339,330,6,137,2,0,1718,52,241,0,165,0,269,2314,6319,1
ANDHRA PRADESH,WEST GODAVARI,2001,77,58,1,61,0,61,41,21,20,7,0,15,257,1116,74,1042,96,63,270,2,32,972,15,246,56,348,0,354,1609,5696,1
ASSAM,BARPETA,2001,64,5,0,28,0,28,105,88,17,43,1,45,93,187,2,185,196,26,29,1,38,266,10,29,0,95,0,87,430,1778,1
ASSAM,CACHAR,2001,52,30,1,45,0,45,104,74,30,29,0,42,189,359,0,359,533,29,33,4,64,286,7,80,0,216,0,235,1124,3462,1
ASSAM,DARRANG,2001,61,13,0,48,0,48,64,47,17,21,0,29,111,185,2,183,100,21,25,0,16,319,9,56,0,37,0,66,273,1454,1
ASSAM,DHUBRI,2001,65,23,0,43,0,43,69,51,18,53,1,19,79,83,2,81,402,11,24,1,23,193,5,49,0,111,0,47,204,1505,1
ASSAM,DIBRUGARH,2001,110,22,6,35,0,35,57,37,20,14,0,29,114,325,18,307,21,13,12,1,20,351,3,41,0,19,0,108,264,1565,1
ASSAM,GUWAHATI CITY,2001,71,44,12,37,0,37,129,64,65,38,4,73,227,736,124,612,151,52,72,7,18,913,5,67,0,98,0,311,1308,4373,1
ASSAM,KAMRUP,2001,37,30,8,21,0,21,95,65,30,30,1,41,196,275,40,235,55,26,50,1,6,404,2,42,0,27,0,52,612,2011,1
ASSAM,LAKHIMPUR,2001,26,21,1,64,0,64,72,62,10,15,0,47,124,195,0,195,106,25,71,0,0,386,0,22,0,93,0,89,422,1779,1
ASSAM,NAGAON,2001,95,22,3,51,0,51,119,109,10,59,2,33,288,491,36,455,267,32,35,6,41,513,1,113,4,132,0,194,701,3202,1
ASSAM,NALBARI,2001,79,36,0,30,0,30,53,27,26,15,1,39,96,119,3,116,4,14,18,3,21,172,3,16,0,15,0,27,433,1194,1
ASSAM,SIBSAGAR,2001,59,24,0,47,0,47,64,64,0,3,0,41,1,343,35,308,50,14,29,5,21,286,0,28,0,0,0,82,546,1643,1
ASSAM,SONITPUR,2001,86,25,1,53,0,53,87,80,7,27,3,21,175,356,6,350,85,22,21,1,32,451,1,43,0,99,0,145,575,2309,1
ASSAM,TINSUKIA,2001,107,17,1,41,0,41,62,48,14,34,0,35,100,350,8,342,22,12,10,0,1,237,2,9,0,21,0,75,245,1381,1
BIHAR,ARARIA,2001,47,27,4,93,0,93,79,13,66,39,1,43,80,161,19,142,375,26,47,0,3,10,11,3,0,50,0,26,944,2069,1
BIHAR,BANKA,2001,93,16,4,34,0,34,27,10,17,49,2,39,51,73,0,73,196,4,3,0,4,8,9,0,0,16,0,0,758,1386,1
BIHAR,BEGUSARAI,2001,124,77,5,13,0,13,53,7,46,18,0,67,76,265,16,249,147,26,26,0,6,65,21,32,0,21,0,71,1515,2628,1
BIHAR,BETTIAH,2001,66,9,20,20,0,20,84,23,61,8,2,32,93,265,14,251,340,35,33,1,21,842,17,23,0,54,8,41,782,2796,1
BIHAR,BHAGALPUR,2001,128,73,6,35,0,35,66,9,57,22,6,55,127,370,25,345,171,22,47,1,13,9,20,15,0,52,0,53,1343,2634,1
BIHAR,BHOJPUR,2001,135,33,0,22,0,22,46,13,33,32,0,49,114,214,18,196,240,0,31,0,0,515,23,0,4,29,0,102,1217,2806,1
BIHAR,GAYA,2001,200,170,7,25,0,25,66,15,51,100,1,114,149,416,50,366,417,57,79,0,23,292,26,27,0,24,0,127,862,3182,1
BIHAR,GOPALGANJ,2001,107,92,4,13,0,13,59,18,41,32,7,73,81,153,25,128,227,45,75,0,6,42,22,0,2,155,0,96,807,2098,1
BIHAR,KATIHAR,2001,60,47,2,51,0,51,49,20,29,49,0,30,49,146,13,133,193,26,23,5,1,64,6,6,0,29,0,71,904,1811,1
BIHAR,MOTIHARI,2001,114,98,11,44,0,44,100,35,65,30,7,79,105,271,3,268,365,46,103,6,23,112,37,3,1,47,0,36,2243,3881,1
BIHAR,MUZAFFARPUR,2001,153,162,21,73,0,73,113,25,88,32,14,135,118,538,104,434,241,67,94,1,42,103,69,81,0,141,6,141,1867,4212,1
BIHAR,NALANDA,2001,208,249,18,40,0,40,126,12,114,51,5,97,92,412,14,398,318,19,34,3,13,611,47,14,2,54,0,60,1006,3479,1
BIHAR,PURNEA,2001,104,89,10,39,0,39,64,23,41,75,5,97,100,227,27,200,269,5,28,3,7,35,8,5,0,22,0,77,785,2054,1
BIHAR,ROHTAS,2001,127,112,4,25,0,25,72,18,54,78,6,68,144,317,51,266,391,37,52,2,27,472,36,21,0,59,0,376,535,2961,1
BIHAR,SAMASTIPUR,2001,107,115,20,19,0,19,75,29,46,33,15,61,94,247,26,221,312,39,33,0,45,255,11,17,9,35,29,21,1261,2853,1
BIHAR,SARAN,2001,137,70,0,20,0,20,65,15,50,69,6,93,96,246,32,214,309,12,14,1,43,878,67,22,0,101,0,106,1087,3442,1
BIHAR,SIWAN,2001,116,150,9,4,0,4,51,26,25,45,3,100,77,112,29,83,239,13,26,0,16,47,32,6,0,10,0,44,753,1853,1
BIHAR,VAISHALI,2001,110,148,13,20,0,20,90,28,62,22,3,43,226,262,23,239,295,83,120,1,8,436,59,52,0,179,0,49,1857,4076,1
CHHATTISGARH,BILASPUR,2001,99,42,11,69,0,69,20,20,0,4,1,37,551,690,72,618,166,5,23,0,17,617,7,180,10,94,0,93,1617,4353,1
CHHATTISGARH,DURG,2001,76,66,0,144,0,144,57,42,15,9,1,50,593,893,208,685,48,15,91,1,35,595,12,287,38,231,0,0,3302,6544,1
CHHATTISGARH,RAIPUR,2001,92,102,10,104,0,104,38,28,10,10,5,58,793,953,347,606,110,24,64,4,28,1259,16,253,42,121,0,182,2518,6786,1
CHHATTISGARH,SARGUJA,2001,105,42,1,145,0,145,17,16,1,11,0,42,359,314,38,276,103,6,31,0,32,330,1,223,10,62,0,0,1296,3130,1
GUJARAT,AHMEDABAD COMMR.,2001,90,58,60,39,0,39,143,117,26,18,4,192,695,3588,1740,1848,191,140,205,13,2,1311,7,54,27,530,0,0,6129,13496,1
GUJARAT,BHAVNAGAR,2001,64,28,0,9,0,9,60,51,9,5,0,48,203,561,190,371,113,154,103,3,25,100,2,36,7,129,0,0,3438,5088,1
GUJARAT,SURAT COMMR.,2001,98,19,2,11,0,11,57,37,20,26,5,59,353,1422,958,464,127,66,228,6,10,353,20,10,1,132,0,167,823,3995,1
HARYANA,FARIDABAD,2001,68,38,7,37,0,37,78,53,25,7,25,44,236,668,444,224,133,117,61,6,14,304,19,47,242,108,0,18,3531,5808,1
HARYANA,GURGAON,2001,69,30,5,32,0,32,50,32,18,4,15,51,294,794,435,359,78,55,29,2,20,244,17,21,21,136,0,5,1530,3502,1
JAMMU & KASHMIR,BARAMULLA,2001,144,155,2,28,0,28,75,59,16,2,0,16,114,156,19,137,146,3,11,2,40,18,0,93,14,0,0,22,492,1533,1
JAMMU & KASHMIR,KUPWARA,2001,141,269,0,6,0,6,47,29,18,0,0,1,36,39,1,38,74,8,10,0,22,18,0,62,2,0,0,12,280,1027,1
JAMMU & KASHMIR,SRINAGAR,2001,63,49,8,8,0,8,115,102,13,6,0,59,382,490,333,157,158,7,102,5,64,18,0,207,88,2,0,0,1211,3042,1
JHARKHAND,BOKARO,2001,70,75,2,26,0,26,38,32,6,38,2,66,108,435,35,400,119,16,17,21,13,74,25,24,2,45,0,76,644,1936,1
JHARKHAND,DHANBAD,2001,97,31,7,32,0,32,57,45,12,56,8,48,203,546,43,503,205,11,77,0,14,318,30,47,0,18,0,15,1096,2916,1
JHARKHAND,GUMLA,2001,136,18,7,29,0,29,16,11,5,30,0,44,31,56,39,17,40,4,7,0,0,0,0,2,0,10,1,0,227,658,1
JHARKHAND,HAZARIBAGH,2001,76,35,4,41,0,41,42,31,11,85,3,68,150,348,80,268,268,9,54,0,5,479,31,15,0,18,0,6,761,2498,1
JHARKHAND,JAMSHEDPUR,2001,81,190,8,50,0,50,60,51,9,10,2,27,134,343,67,276,131,85,115,0,8,76,6,58,0,88,0,140,1100,2712,1
JHARKHAND,RANCHI,2001,243,65,18,73,0,73,1,1,0,81,4,140,2,647,97,550,66,47,55,0,10,21,4,24,1,78,0,0,22,1602,1
KARNATAKA,BANGALORE RURAL,2001,137,86,2,13,0,13,37,10,27,23,0,32,405,533,92,441,358,22,60,2,39,1097,30,90,0,123,0,0,2120,5209,1
KARNATAKA,BELGAUM,2001,120,55,2,8,0,8,27,12,15,19,0,47,212,386,139,247,389,17,102,1,25,1002,4,62,0,125,0,21,2429,5053,1
KARNATAKA,GULBARGA,2001,95,83,3,20,0,20,35,21,14,10,3,61,246,268,55,213,423,6,68,0,25,1148,6,143,1,104,0,0,1421,4169,1
KERALA,TRIVANDRUM,2001,53,79,6,57,0,57,41,21,20,32,12,104,597,636,244,392,892,35,394,18,77,2436,6,345,2,210,0,0,5336,11368,1
MADHYA PRADESH,BHOPAL,2001,61,109,0,106,0,106,55,48,7,8,6,99,852,1351,425,926,77,33,192,0,8,652,15,252,56,132,0,272,9372,13708,1
MADHYA PRADESH,CHHINDWARA,2001,78,51,2,93,0,93,18,16,2,0,1,18,165,239,66,173,26,16,67,0,26,1085,10,203,32,109,0,98,1335,3672,1
MADHYA PRADESH,DEWAS,2001,50,112,0,78,0,78,20,11,9,10,1,67,367,677,115,562,119,16,22,0,39,508,15,279,80,96,0,107,2376,5039,1
MADHYA PRADESH,DHAR,2001,89,99,0,68,0,68,22,18,4,6,10,35,285,651,72,579,48,33,25,0,28,635,41,168,21,88,0,0,2558,4910,1
MADHYA PRADESH,GUNA,2001,71,72,4,124,0,124,17,15,2,9,12,50,448,350,46,304,171,14,27,0,35,1602,7,317,22,95,0,116,2438,6001,1
MADHYA PRADESH,GWALIOR,2001,84,168,5,59,0,59,46,22,24,4,5,144,939,925,305,620,170,22,81,0,25,1084,20,139,8,49,0,189,2680,6846,1
MADHYA PRADESH,INDORE,2001,111,133,1,84,0,84,50,35,15,5,10,112,874,2708,1360,1348,129,59,149,3,29,1306,25,215,63,161,0,269,6567,13063,1
MADHYA PRADESH,JABALPUR,2001,103,167,28,108,0,108,33,20,13,0,3,126,596,887,300,587,112,14,40,0,15,2024,28,264,50,81,0,186,3468,8333,1
MADHYA PRADESH,JHABUA,2001,124,119,3,44,0,44,83,80,3,5,5,20,163,269,13,256,74,5,10,0,45,634,5,127,4,24,0,0,1653,3416,1
MADHYA PRADESH,MORENA,2001,63,99,2,35,0,35,35,18,17,16,3,76,381,564,88,476,198,4,13,0,19,929,29,77,2,34,0,111,2539,5229,1
MADHYA PRADESH,SAGAR,2001,84,122,0,141,0,141,30,16,14,4,0,53,473,497,22,475,151,10,56,1,51,2669,29,509,0,142,0,106,2553,7681,1
MADHYA PRADESH,SHIVPURI,2001,88,63,2,72,0,72,20,11,9,5,11,48,272,255,217,38,140,11,27,0,38,792,14,172,2,26,0,162,2101,4321,1
MADHYA PRADESH,UJJAIN,2001,84,163,1,59,0,59,44,33,11,6,1,79,826,1387,265,1122,133,24,64,3,38,744,7,161,33,109,0,52,3623,7641,1
MAHARASHTRA,AHMEDNAGAR,2001,97,41,1,44,0,44,37,25,12,20,6,104,312,715,168,547,266,37,59,7,44,575,0,74,2,496,0,479,975,4391,1
MAHARASHTRA,NAGPUR COMMR.,2001,112,70,2,39,0,39,64,51,13,14,55,171,1388,2666,797,1869,235,74,263,11,15,1078,7,75,56,218,0,223,3076,9912,1
MAHARASHTRA,NAGPUR RURAL,2001,101,56,6,81,0,81,23,16,7,7,1,58,501,1074,62,1012,180,27,37,0,81,1050,3,131,294,141,0,254,1574,5680,1
MAHARASHTRA,NANDED,2001,80,66,4,23,0,23,41,36,5,21,11,93,426,539,73,466,217,40,128,0,67,1480,21,85,22,202,0,127,1655,5348,1
MAHARASHTRA,NASIK RURAL,2001,92,54,1,39,0,39,17,10,7,40,0,36,280,447,90,357,518,57,54,1,69,926,7,74,37,339,0,495,1297,4880,1
MAHARASHTRA,PUNE COMMR.,2001,71,44,3,56,0,56,46,28,18,14,13,98,840,2508,1277,1231,903,84,347,5,16,1004,2,54,105,147,1,300,2275,8936,1
MAHARASHTRA,PUNE RURAL,2001,119,41,6,42,0,42,24,17,7,23,20,70,301,635,168,467,150,35,46,1,28,517,5,64,11,165,0,698,1379,4380,1
MAHARASHTRA,SOLAPUR RURAL,2001,101,30,3,35,0,35,23,14,9,19,12,29,134,365,65,300,162,33,30,4,29,637,6,40,12,90,0,384,967,3145,1
MAHARASHTRA,THANE COMMR.,2001,133,81,3,39,0,39,62,37,25,27,52,146,1022,1774,644,1130,223,76,477,7,4,1285,6,69,43,212,0,251,624,6616,1
MAHARASHTRA,THANE RURAL,2001,140,33,17,65,0,65,28,16,12,40,14,53,496,523,147,376,148,45,83,3,30,635,6,76,25,104,0,475,741,3780,1
ODISHA,CUTTACK,2001,35,143,0,34,0,34,43,33,10,21,0,121,306,738,90,648,33,27,105,1,28,0,39,42,1,125,0,0,2416,4258,1
ODISHA,KHURDA,2001,46,85,1,65,0,65,39,32,7,24,4,151,481,953,356,597,86,27,126,0,31,1248,11,28,9,171,0,161,1329,5076,1
ODISHA,MAYURBHANJ,2001,74,45,0,77,0,77,31,31,0,16,0,39,120,199,17,182,44,19,22,0,19,18,19,141,0,74,0,97,975,2029,1
PUNJAB,JALANDHAR,2001,74,72,4,21,0,21,70,49,21,1,16,6,216,290,149,141,0,25,271,9,10,326,17,16,2,104,0,155,756,2461,1
PUNJAB,LUDHIANA,2001,74,68,6,38,0,38,88,46,42,6,26,23,250,624,383,241,0,41,437,5,3,258,11,46,13,249,0,208,1311,3785,1
RAJASTHAN,AJMER,2001,39,47,2,16,0,16,133,125,8,8,0,46,447,748,248,500,112,12,314,1,27,136,12,95,0,236,0,339,3848,6618,1
RAJASTHAN,ALWAR,2001,85,83,0,34,0,34,119,87,32,1,3,52,286,964,295,669,445,34,363,6,44,2007,43,124,0,235,0,233,1862,7023,1
RAJASTHAN,BANSWARA,2001,40,24,3,90,0,90,61,59,2,4,1,23,96,118,14,104,427,8,54,0,51,1452,10,112,1,151,0,56,726,3508,1
RAJASTHAN,BARAN,2001,36,95,3,81,0,81,96,94,2,0,0,32,204,365,39,326,167,17,102,1,47,288,3,219,5,124,0,50,2398,4333,1
RAJASTHAN,BHARATPUR,2001,75,98,2,48,0,48,126,103,23,3,6,41,148,808,177,631,445,37,304,2,59,1166,24,77,0,209,0,135,3478,7291,1
RAJASTHAN,BHILWARA,2001,34,54,6,42,0,42,223,223,0,2,0,49,365,787,233,554,257,41,354,2,37,491,5,126,3,312,0,172,2973,6335,1
RAJASTHAN,BUNDI,2001,33,72,4,36,0,36,120,103,17,4,0,33,222,391,67,324,229,24,106,0,39,1067,2,164,6,157,0,76,1293,4078,1
RAJASTHAN,CHITTORGARH,2001,41,59,4,67,0,67,206,169,37,5,1,47,402,730,132,598,507,39,283,4,59,2521,7,112,5,384,0,127,1452,7062,1
RAJASTHAN,GANGANAGAR,2001,51,97,0,55,0,55,79,65,14,2,1,14,253,408,93,315,36,56,396,2,11,1107,13,118,2,375,0,135,2399,5610,1
RAJASTHAN,JHALAWAR,2001,38,99,8,65,0,65,89,57,32,2,3,45,220,383,67,316,206,19,95,1,55,1046,8,144,10,224,0,61,712,3533,1
RAJASTHAN,KOTA,2001,58,310,1,50,0,50,146,116,30,2,2,86,456,1213,444,769,229,43,308,4,43,1175,17,203,6,319,0,119,2593,7383,1
RAJASTHAN,UDAIPUR,2001,67,101,1,43,0,43,161,118,43,0,0,42,298,545,170,375,435,29,231,5,51,990,9,68,2,127,0,234,2926,6365,1
TAMIL NADU,CHENNAI,2001,91,298,0,28,0,28,40,0,40,12,0,127,668,2167,433,1734,105,26,600,0,0,813,13,70,209,111,0,675,1239,7292,1
TAMIL NADU,COIMBATORE RURAL,2001,77,49,3,18,0,18,38,27,11,11,1,41,346,1008,395,613,455,36,102,4,30,1044,16,75,25,49,0,672,5015,9115,1
TAMIL NADU,THIRUNELVELI RURAL,2001,74,124,1,57,0,57,66,53,13,3,0,27,310,560,35,525,97,16,51,10,102,835,3,155,62,13,0,212,3572,6350,1
TRIPURA,WEST,2001,125,10,0,33,0,33,39,17,22,18,0,32,115,168,2,166,57,2,10,2,14,226,6,20,0,97,0,0,470,1444,1
UTTAR PRADESH,ALLAHABAD,2001,167,224,30,42,0,42,96,75,21,13,0,81,368,850,176,674,260,136,25,3,38,1024,56,85,105,226,0,215,2052,6096,1
UTTAR PRADESH,AZAMGARH,2001,120,103,21,11,0,11,45,41,4,7,0,80,145,187,32,155,127,44,72,2,2,352,32,14,15,81,0,25,762,2247,1
UTTAR PRADESH,BADAUN,2001,239,272,30,47,0,47,82,41,41,26,0,67,118,306,14,292,64,39,64,1,38,616,62,51,14,76,0,7,845,3064,1
UTTAR PRADESH,BAGHPAT,2001,89,160,6,15,0,15,31,17,14,17,0,54,45,218,34,184,55,26,43,3,5,3,20,18,12,64,0,21,450,1355,1
UTTAR PRADESH,BARABANKI,2001,88,85,24,41,0,41,71,55,16,22,0,50,160,349,20,329,81,69,31,0,18,307,35,37,21,188,0,141,760,2578,1
UTTAR PRADESH,BIJNOR,2001,124,113,14,38,0,38,85,59,26,13,0,56,132,352,40,312,80,58,119,3,11,43,31,67,38,230,0,78,802,2487,1
UTTAR PRADESH,BULANDSHAHAR,2001,250,209,16,31,0,31,94,64,30,20,1,103,109,459,79,380,150,68,107,2,23,75,45,71,219,227,0,183,1510,3972,1
UTTAR PRADESH,ETAH,2001,240,364,12,57,0,57,118,59,59,32,0,79,136,350,51,299,259,100,121,2,5,404,68,68,24,156,0,13,1913,4521,1
UTTAR PRADESH,ETAWAH,2001,82,92,8,20,0,20,93,22,71,14,2,32,48,166,44,122,90,45,37,1,11,200,29,25,26,52,0,118,751,1942,1
UTTAR PRADESH,FATEHGARH,2001,120,86,14,9,0,9,63,38,25,4,0,18,48,126,16,110,73,29,77,2,9,227,22,23,28,93,0,73,550,1694,1
UTTAR PRADESH,FATEHPUR,2001,132,56,26,28,0,28,45,27,18,11,0,36,70,132,16,116,22,31,48,0,7,265,46,25,15,59,0,163,729,1946,1
UTTAR PRADESH,FIROZABAD,2001,135,169,10,22,0,22,120,59,61,22,0,72,105,292,89,203,147,42,69,1,3,359,48,33,69,89,0,178,741,2726,1
UTTAR PRADESH,GAUTAMBUDH NAGAR,2001,92,60,16,16,0,16,42,30,12,11,1,47,56,729,330,399,81,51,127,0,12,127,17,39,40,54,0,151,674,2443,1
UTTAR PRADESH,GHAZIABAD,2001,230,381,18,31,0,31,112,79,33,10,2,117,227,1357,656,701,123,83,258,14,10,134,33,54,138,140,0,138,1469,5079,1
UTTAR PRADESH,GORAKHPUR,2001,96,74,29,13,0,13,60,52,8,6,0,38,137,192,51,141,117,65,100,1,12,378,16,25,36,52,0,136,1015,2598,1
UTTAR PRADESH,HARDOI,2001,182,153,30,70,0,70,75,60,15,24,1,50,89,267,25,242,92,48,51,1,12,482,63,86,21,136,0,141,1004,3078,1
UTTAR PRADESH,HATHRAS,2001,86,94,15,16,0,16,50,26,24,24,0,64,91,225,16,209,150,50,78,3,9,215,31,63,26,93,0,76,757,2216,1
UTTAR PRADESH,J.P.NAGAR,2001,112,72,6,23,0,23,47,36,11,12,0,37,36,166,16,150,85,21,50,0,10,141,14,35,22,98,0,82,596,1665,1
UTTAR PRADESH,KANPUR DEHAT,2001,85,67,12,21,0,21,50,34,16,14,1,30,48,140,8,132,72,22,40,0,12,312,39,45,7,79,0,103,382,1581,1
UTTAR PRADESH,KHIRI,2001,172,178,36,83,0,83,112,90,22,19,2,79,161,492,47,445,193,77,64,0,6,401,88,99,24,138,0,97,1233,3754,1
UTTAR PRADESH,LUCKNOW,2001,166,189,28,62,0,62,175,138,37,28,1,123,670,2202,697,1505,347,268,427,3,10,89,47,103,148,337,0,337,3445,9205,1
UTTAR PRADESH,MAINPURI,2001,136,151,20,13,0,13,56,31,25,38,0,72,88,191,26,165,120,41,83,6,29,272,42,32,3,63,0,5,686,2147,1
UTTAR PRADESH,MATHURA,2001,125,170,9,25,0,25,62,33,29,21,0,97,108,372,144,228,170,68,127,1,19,125,21,48,50,77,0,214,1081,2990,1
UTTAR PRADESH,MORADABAD,2001,213,171,18,44,0,44,102,72,30,20,0,101,160,607,160,447,97,40,104,2,21,246,45,79,85,207,0,238,845,3445,1
UTTAR PRADESH,PILIBHIT,2001,115,233,12,64,0,64,66,47,19,21,0,62,92,192,25,167,84,41,69,0,5,21,44,50,20,195,0,49,804,2239,1
UTTAR PRADESH,PRATAPGARH,2001,76,123,22,18,0,18,43,35,8,6,0,44,129,139,17,122,101,29,59,1,22,519,33,21,9,44,0,100,883,2421,1
UTTAR PRADESH,RAIBAREILLY,2001,87,63,26,58,0,58,58,50,8,3,0,41,160,304,46,258,94,49,35,3,3,379,29,57,17,137,0,127,814,2544,1
UTTAR PRADESH,RAMPUR,2001,89,98,26,22,0,22,44,27,17,11,0,35,71,266,31,235,51,34,45,0,9,138,18,11,0,49,0,62,565,1644,1
UTTAR PRADESH,SAHARANPUR,2001,101,128,14,41,0,41,75,52,23,13,0,65,79,428,133,295,161,61,161,3,7,53,21,45,96,196,0,47,1074,2869,1
UTTAR PRADESH,SHAHJAHANPUR,2001,196,223,37,55,0,55,112,68,44,15,0,70,83,340,54,286,61,43,81,0,7,467,66,61,21,146,0,67,790,2941,1
UTTAR PRADESH,SITAPUR,2001,162,139,56,85,0,85,99,47,52,5,0,95,237,826,42,784,124,57,134,0,18,291,82,71,35,106,0,165,1945,4732,1
UTTAR PRADESH,SULTANPUR,2001,103,154,25,29,0,29,47,35,12,8,0,42,157,295,39,256,76,47,62,0,3,352,38,34,17,153,0,123,775,2540,1
UTTAR PRADESH,UNNAO,2001,147,141,15,53,0,53,97,79,18,9,1,74,85,361,28,333,147,34,60,0,23,463,63,100,12,168,0,162,1333,3548,1
UTTAR PRADESH,VARANASI,2001,78,89,17,27,0,27,55,35,20,9,0,95,161,535,237,298,85,86,99,10,9,324,31,19,90,119,0,179,787,2904,1
UTTARAKHAND,HARIDWAR,2001,94,75,6,13,0,13,52,23,29,5,1,43,62,349,107,242,137,50,86,1,7,271,10,21,33,105,0,121,301,1843,1
WEST BENGAL,24 PARGANAS NORTH,2001,202,23,61,53,0,53,81,63,18,14,0,56,46,1679,459,1220,285,55,35,7,1,0,23,63,0,447,0,0,3036,6167,1
WEST BENGAL,24 PARGANAS SOUTH,2001,107,5,75,47,0,47,53,52,1,15,0,33,16,1143,274,869,327,1,4,1,9,0,48,54,0,480,0,0,3409,5827,1
WEST BENGAL,BIRBHUM,2001,76,40,25,43,0,43,43,28,15,7,28,30,18,350,44,306,282,20,4,0,9,60,4,43,0,151,0,173,807,2213,1
